word,frequency
likely,12.0
released,12.0
kinds,12.0
relaxing,12.0
everyday,12.0
masa,12.0
important,12.0
sweat,12.0
reality,12.0
humor,12.0
however,12.0
sheamus,12.0
16,12.0
bu,12.0
@taylorswift13,12.0
brand,12.0
program,12.0
pandemic,12.0
numbers,12.0
taken,12.0
term,12.0
aww,12.0
tough,12.0
0,12.0
download,12.0
favourite,11.0
people's,11.0
rock,11.0
mi,11.0
couldn't,11.0
except,11.0
gender,11.0
figure,11.0
est,11.0
planning,11.0
wi,11.0
breaking,11.0
tryna,11.0
younger,11.0
touch,11.0
dubs,11.0
shopping,11.0
awww,11.0
ages,11.0
enjoyable,11.0
title,11.0
growing,11.0
corn,11.0
secret,11.0
bullying,11.0
fellow,11.0
cover,11.0
checking,11.0
hits,11.0
picking,11.0
=,11.0
circle,11.0
upset,11.0
haunted,11.0
who's,11.0
regular,11.0
@pepperoceanna,11.0
mf,11.0
hobby,11.0
projects,11.0
army,11.0
gon,11.0
king,11.0
rly,11.0
places,11.0
fell,11.0
wall,11.0
au,11.0
trips,11.0
emails,11.0
terrible,11.0
cousins,11.0
near,11.0
ladies,11.0
nose,11.0
replies,11.0
loud,11.0
wins,11.0
randomly,11.0
deck,11.0
werent,11.0
shirt,11.0
lo,11.0
mr,11.0
moms,11.0
meeting,11.0
review,11.0
ig,11.0
tree,11.0
hero,11.0
prefer,11.0
america,11.0
bat,11.0
text,11.0
stick,11.0
difficult,11.0
facebook,11.0
ad,11.0
heat,11.0
named,11.0
lindsey,11.0
tune,11.0
hates,11.0
zone,11.0
constant,11.0
block,11.0
paper,11.0
session,11.0
de,11.0
buddy,11.0
chatting,11.0
situation,11.0
basketball,11.0
turning,11.0
spot,11.0
alive,11.0
personal,11.0
comics,11.0
suppose,11.0
husband,11.0
80s,11.0
lead,11.0
quality,11.0
helping,11.0
language,11.0
tattoo,11.0
