,word,frequency
1134,knowing,12.0
1135,public,12.0
1136,@chipfranklin,12.0
1137,sheep,12.0
1138,3rd,12.0
1139,experience,12.0
1140,fridayfeeling,12.0
1141,worldeggday,12.0
1142,treat,12.0
1143,poor,12.0
1144,fast,12.0
1145,nhlfreeagency,12.0
1146,mama,12.0
1147,brothers,12.0
1148,staff,12.0
1149,vibes,12.0
1150,cuz,12.0
1151,@ramniwasgawriya,12.0
1152,grown,12.0
1153,rip,12.0
1154,celebration,12.0
1155,asked,12.0
1156,act,12.0
1157,@cube_ptg_japan,12.0
1158,legendary,12.0
1159,weeks,12.0
1160,ahhh,12.0
1161,extremely,12.0
1162,we've,12.0
1163,normal,12.0
1164,smiles,12.0
1165,faces,12.0
1166,sweetheart,12.0
1167,fursuitfriday,12.0
1168,happyfriday,12.0
1169,fresh,12.0
1170,red,12.0
1171,mc,12.0
1172,@yungblud,12.0
1173,hearts,12.0
1174,li,12.0
1175,happybirthdayjohnlennon,12.0
1176,nigeria,12.0
1177,whether,12.0
1178,honey,12.0
1179,uwu,12.0
1180,@theseoulstory,12.0
1181,@ex33uk,12.0
1182,breakfast,12.0
1183,jonathan,12.0
1184,lo,12.0
1185,interested,12.0
1186,ca,12.0
1187,longer,12.0
1188,po,12.0
1189,bestie,12.0
1190,@mofa_taiwan,12.0
1191,leiferiksonday,12.0
1192,@paulmccartney,12.0
1193,mary,12.0
1194,hair,12.0
1195,style,12.0
1196,reasons,12.0
1197,sing,12.0
1198,internet,12.0
1199,ig,12.0
1200,available,12.0
1201,wee,12.0
1202,asking,12.0
1203,blog,12.0
1204,protection,12.0
1205,da,12.0
1206,endsarsprotests,12.0
1207,hands,12.0
1208,youuu,12.0
1209,*,12.0
1210,george,11.0
1211,shine,11.0
1212,earth,11.0
1213,loml,11.0
1214,arashi's,11.0
1215,babes,11.0
1216,24,11.0
1217,worldmentalhealthday,11.0
1218,lord,11.0
1219,agree,11.0
1220,issues,11.0
1221,prettiest,11.0
1222,fly,11.0
1223,reaching,11.0
1224,ms,11.0
1225,@ultrapunch,11.0
1226,clients,11.0
1227,wi,11.0
1228,meeting,11.0
1229,wear,11.0
1230,viva,11.0
1231,memory,11.0
1232,kindness,11.0
1233,100,11.0
1234,ways,11.0
1235,car,11.0
1236,deal,11.0
1237,dearest,11.0
1238,sars,11.0
1239,match,11.0
1240,brilliant,11.0
1241,21,11.0
1242,ten,11.0
1243,agency,11.0
1244,helped,11.0
1245,pray,11.0
1246,ou,11.0
1247,@koreaboo,11.0
1248,meal,11.0
1249,term,11.0
1250,hero,11.0
1251,mark,11.0
1252,eze,11.0
1253,possible,11.0
1254,products,11.0
1255,eggs,11.0
1256,magic,11.0
1257,nobody,11.0
1258,chat,11.0
1259,buddy,11.0
1260,wtf,11.0
1261,dropped,11.0
1262,@jypetwice,11.0
1263,rock,11.0
1264,company,11.0
1265,pinatubo,11.0
1266,cut,11.0
1267,sign,11.0
1268,running,11.0
1269,prize,11.0
1270,taylor,11.0
1271,tv,11.0
1272,happening,11.0
1273,changed,11.0
1274,kpop,11.0
1275,bank,11.0
1276,receive,11.0
1277,moon,11.0
1278,posts,11.0
1279,afraid,11.0
1280,beyond,11.0
1281,who's,11.0
1282,version,11.0
1283,entire,11.0
1284,hurt,11.0
1285,learning,11.0
1286,needs,11.0
1287,killing,11.0
1288,cole,11.0
1289,gintama,11.0
1290,pain,11.0
1291,describe,11.0
1292,friendly,11.0
1293,lee,11.0
1294,moots,11.0
1295,tbh,11.0
1296,college,11.0
1297,keeping,11.0
1298,@sb19official,11.0
1299,sweetest,11.0
1300,families,11.0
1301,@berserkanna,11.0
1302,@ozzyosbourne,11.0
1303,jane,11.0
1304,10/10,11.0
1305,india,11.0
1306,gotta,11.0
1307,videos,11.0
1308,bought,11.0
1309,sad,12898.0
1310,i,6972.0
1311,the,4647.0
1312,to,4585.0
1313,and,4256.0
1314,so,3958.0
1315,a,3330.0
1316,is,3167.0
1317,im,2513.0
1318,that,2414.0
1319,this,2366.0
1320,you,2342.0
1321,it,2190.0
1322,of,2178.0
1323,me,1890.0
1324,my,1876.0
1325,but,1860.0
1326,for,1634.0
1327,in,1604.0
1328,be,1598.0
1329,just,1396.0
1330,its,1273.0
1331,was,1141.0
1332,not,1110.0
1333,have,1074.0
1334,like,1035.0
1335,are,1009.0
1336,on,914.0
1337,when,875.0
1338,they,843.0
1339,with,830.0
1340,i'm,829.0
1341,really,793.0
1342,all,786.0
1343,he,773.0
1344,we,769.0
1345,about,711.0
1346,now,695.0
1347,it's,689.0
1348,how,682.0
1349,people,674.0
1350,feel,673.0
1351,get,663.0
1352,if,660.0
1353,no,645.0
1354,at,621.0
1355,dont,618.0
1356,your,609.0
1357,what,606.0
1358,very,595.0
1359,do,573.0
1360,why,564.0
1361,am,563.0
1362,see,542.0
1363,one,540.0
1364,up,527.0
1365,know,515.0
1366,as,506.0
1367,because,492.0
1368,or,469.0
1369,u,465.0
1370,time,458.0
1371,makes,454.0
1372,out,441.0
1373,can,439.0
1374,happy,431.0
1375,will,430.0
1376,love,428.0
1377,being,425.0
1378,think,413.0
1379,too,410.0
1380,even,409.0
1381,them,405.0
1382,from,403.0
1383,make,395.0
1384,still,385.0
1385,his,373.0
1386,been,373.0
1387,who,362.0
1388,thats,356.0
1389,got,356.0
1390,don't,353.0
1391,has,340.0
1392,want,339.0
1393,him,333.0
1394,her,332.0
1395,some,331.0
1396,an,330.0
1397,more,324.0
1398,much,322.0
1399,go,321.0
1400,life,316.0
1401,had,315.0
1402,good,314.0
1403,never,314.0
1404,day,313.0
1405,she,310.0
1406,cant,307.0
1407,their,287.0
1408,would,283.0
1409,there,277.0
1410,only,276.0
1411,shit,274.0
1412,today,260.0
1413,then,256.0
1414,going,256.0
1415,always,254.0
1416,by,253.0
1417,man,251.0
1418,made,251.0
1419,say,249.0
1420,kinda,241.0
1421,endsars,240.0
1422,over,240.0
1423,these,238.0
1424,also,235.0
